w2p2p3	777447p_all	777448p_all	777316p_all	777315p_all	777317p_all	777318p_all	777446p_all
w4m2m0	862673p_all	862678p_all	862672p_all	862675p_all	862676p_all	862677p_all	862674p_all
w1m4p3	881265p_all	881266p_all	881263p_all	881261p_all	881262p_all	881264p_all	881267p_all
w4m1m1	995886p_all	995679p_all	995682p_all	995681p_all	995680p_all	995885p_all	995887p_all
w3p3m1	987230p_all	987232p_all	987233p_all	987235p_all	987231p_all	987234p_all	987229p_all
w1m1p1	821590p_all	821586p_all	821591p_all	821587p_all	821592p_all	821589p_all	821588p_all
w1m3m3	879637p_all	879638p_all	879640p_all	879641p_all	879636p_all	879639p_all	879643p_all	879642p_all
w4m0m1	862797p_all	862799p_all	862795p_all	862798p_all	862794p_all	862796p_all	862800p_all
w3m3m2	793326p_all	793323p_all	793325p_all	793327p_all	793329p_all	793324p_all	793328p_all
w3m3m1	708706p_all	708708p_all	708705p_all	708707p_all	708704p_all	708710p_all	708709p_all
w3m0p2	844869p_all	844868p_all	844866p_all	844867p_all	844865p_all	844870p_all	844871p_all
w2p2m1	832007p_all	832011p_all	832006p_all	832008p_all	832009p_all	832012p_all	832010p_all
w2m1p3	775345p_all	775338p_all	775340p_all	775344p_all	775339p_all	775337p_all	775349p_all
w1p3p0	720087p_all	720090p_all	720092p_all	720093p_all	720088p_all	720091p_all	720089p_all
w1m3p2	880097p_all	880099p_all	880098p_all	880096p_all	880100p_all	880095p_all	880094p_all
w1m4m2	880206p_all	880201p_all	880203p_all	880202p_all	880200p_all	880205p_all	880204p_all
w3m0m2	705405p_all	705403p_all	705404p_all	705409p_all	705406p_all	705408p_all	705407p_all
w1m0p1	762498p_all	762499p_all	762493p_all	762496p_all	762495p_all	762494p_all	762497p_all
w1p4p1	723404p_all	723407p_all	723408p_all	723405p_all	723406p_all	723403p_all	723402p_all
w3m2m1	793059p_all	793064p_all	793061p_all	793060p_all	793062p_all	793058p_all	793063p_all
w1p4m2	827067p_all	826966p_all	826965p_all	827069p_all	827071p_all	827068p_all	827070p_all
w3m0m3	705484p_all	705490p_all	705486p_all	705488p_all	705487p_all	705489p_all	705485p_all
w1m4m4	1030579p_all	1030578p_all	1030577p_all	1030581p_all	1030575p_all	1030580p_all	1030576p_all
